Nr.;Bezeichnung Anforderung;Beschreibung / Erläuterung der Anforderung;Bemerkung bbv (intern)
#REF!;Funktionale Kriterien;;
#REF!;Bezeichnung;Funktionale Kriterien aus Administrationsperspektive;
1.1.1;Admin-Rolle;Neben dem Benutzer gibt es einen kundenseitigen Admin. Mit der Rollenbezeichnung Admin ist in diesen Anforderung immer der kundenseitige Admin gemeint. Die Administrations-Rolle soll nach dem RBAC-Prinzip (Rollenbasierte Zugriffskontrolle) aufgebaut werden können,sodass eine sichere und effiziente Aufgabenverteilung im Unternehmen oder auch bei Kundengruppen sichergestellt werden kann. Diese Rolle wird vorausgesetzt;Beschrieb Security / Allgemein AI Hub (security/rbac)
1.1.2;Benutzersteuerung;Das System ermöglicht die Ausgabe von individuell erstellten und verwalteten Disclaimern. Die Nutzerantwort auf den Disclaimer wird sessionspezifisch gespeichert, um Compliance und Nachvollziehbarkeit sicherzustellen;Beschrieb allg. Funktionalitäten / Allgemein AI Hub -> kann über Human in the Loop abgebildet werden (architecture/core_components/agents/agent_workflows/human_in_the_loop)
1.1.3;Crawling;Das System ermöglicht das Crawling öffentlicher Inhalte, die in ein Retrieval-Augmented Generation (RAG)-Modell integriert werden können. Der Crawling-Prozess wird durch den Administrator (z. B. die Gemeinde Zug) initiiert und gesteuert, um die Relevanz und Aktualität der Daten sicherzustellen;Beschrieb allg. Funktionalitäten / Allgemein AI Hub -> custom pipelines (architecture/core_components/data_pipelines)
1.1.4;Logging;Das System unterstützt eine konfigurierbare Log-Rotation, um die Speicherung und Verwaltung von Protokolldaten effizient zu gestalten. Dies umfasst die Definition von Rotationsintervallen, Speichergrößen und Aufbewahrungszeiträumen;(operations/obervability/telemetry/logging)
1.1.5;Logging;"Das System unterstützt folgende Protokollierungsformen und kann diese an Drittsysteme liefern:
- Infrastruktur-Logs (z.B. Syslog, Container Logs, K8s Events/Log, Ressourcenverbrauch)
- Application Logs (z,.B. Request/Response Logs inkl. Latenz-Metriken), Fehler-Logs, Rate-Limiting und Throttling Logs
- Security / Audit und Access-Logs (z.B. Authentication und Authorization, IAM Actions, Session tracking mit entsprechenden Tokens etc.)
- Modellausführungs- und Performance Logs (z.B. Prompt und Token usage, Batch Processing, Timeouts etc. )
- Benutezrinteraktionslogs (anonymisiert): Session Start/Ende, Benutzerfehlermeldungen, Benutzerfeedbacks)
- Datenpipeline und Preprocessing Logs
(Ingestion-Logs, Transformation-Logs, Training-Logs)
Diese Logs können über ein mit dem Produkt angebotenes System abgefragt werden und zusätzlich respektive alternativ an vom Auftraggeber Bereitgestellte Log-Aggregationssysteme geschickt werden. 
Die folgenden Systeme können mindestens unterstützt werden: 
- ELK Stack
- Grafana mit Loki und Promtail
- Fluet Bit/Fluentd mit Elastic Search
- Splunk
- Datadog";Beschrieb Security / Allgemein AI Hub (operations/obervability/telemetry/logging)
1.1.6;RAG;Die Plattform soll die Nutzung von Retrieval-Augmented Generation (RAG) ermöglichen, um in spezifischen Kontexten mit dem Large Language Model (LLM) zu interagieren. Dabei muss die Plattform in der Lage sein, mehrere parallele Datenquellen als Grundlage für RAG zu verwalten und zu betreiben;Beschrieb RAG / Allgemein AI Hub
1.1.7;RAG-Modell erstellen;Die Plattform muss Administratoren die Möglichkeit bieten, Datenquellen zu konfigurieren und daraus ein Retrieval-Augmented Generation (RAG)-Modell zu erstellen;Beschrieb RAG / Allgemein AI Hub
1.1.8;Re-/Training ;Das System unterstützt ein automatisiertes Retraining des LLM basierend auf neuen Daten und Benutzerfeedback. Der Prozess umfasst die Erkennung von Schwachstellen, die Integration qualitativ hochwertiger Daten und die Einhaltung von Datenschutzbestimmungen. Das Retraining ist skalierbar, ressourceneffizient und ermöglicht eine kontinuierliche Verbesserung der Modellleistung;Frage
1.1.9;Re-/Training  Benutzerfeedback;Benutzer können einfach und intuitiv Feedback zu den Antworten des LLM geben, z. B. über Bewertungssysteme (z. B. Thumbs Up/Down) oder Freitextkommentare, um kontinuierliche Verbesserungen zu unterstützen;Frage
1.1.10;Re-/Training Versionierung;Alle Retrainings des LLM sind versioniert, um eine klare Nachverfolgbarkeit der Modellentwicklung zu gewährleisten. Jede Version umfasst Metadaten wie Trainingsdaten, Hyperparameter und Leistungsmetriken;tbd
1.1.11;Vordefinierte Antworten;Das System bietet die Möglichkeit, vordefinierte Antworten auf spezifische Fragen oder Stichwörter zu hinterlegen, um konsistente und gezielte Interaktionen zu gewährleisten;Agentendefinition / Agent-Workflow
1.1.12;Anpassungsfähigkeit;Möglichkeit zur Anpassung des LLM an spezifische Domänen (z.B. Schweizer Rechtssprache, behördliche Terminologi) und zur effektiven Nutzung durch Prompt Engineering;Kapitel in Allgemein AI Hub / wie trainieren wir für die öffentliche Hand / plus pro Kanton
1.1.13;Prompt Engineering;Mechanismen zur Sicherstellung, dass Nutzer keine sensiblen oder geschützten Informationen in Prompts einbringen, die unbeabsichtigt gespeichert oder zur Modellverbesserung missbraucht werden könnten;dürfte heissen das man Data Stewards braucht?
1.1.14;Prompt Engineering;Sicherstellung der Anonymisierbarkeit von Fragestellungen. Es sollen keine Rückschlüsse auf interne Benutzer gemacht werden können;Architektur
1.1.15;Verhinderung Malware;Mechanismen zur Sicherstellung, dass Nutzer keine Malware hochladen können und das System nicht instruieren können, Malware zu verbreiten oder sonst wie zu deren Entwicklung und Verbreitung beizutragen;Beschrieb Security / Allgemein AI Hub
1.1.16;Halluzinations-management;Strategien und Mechanisment, um Halluzinationen (generierte, aber faktisch falsche Informationen) des LLM zu erkennen und zu minimieren;"Kapitel im Allgemeinen AI Hub / ""Präzision"" / Quellangaben "
